# Player,AVG,GP-GS,AB,R,H,2B,3B,HR,RBI,TB,SLG%,BB,HBP,SO,GDP,OB%,SF,SH,SB-ATT,PO,A,E,FLD%
"15 Lazits, Anton",0.313,18-18,64,10,20,5,1,1,6,30,0.469,6,0,15,0,0.366,1,0,2-Feb,15,13,3,0.903
"26 Hage, Cole",0.304,17-17,56,12,17,3,0,2,8,26,0.464,10,4,13,0,0.431,2,0,6-Apr,21,2,1,0.958
"22 Schott, Hayden",0.3,19-18,70,11,21,4,0,3,13,34,0.486,4,0,15,2,0.338,0,0,2-Jan,38,1,0,1
"23 MacGregor, Tyler",0.274,19-19,73,9,20,4,1,2,12,32,0.438,7,1,23,1,0.341,1,0,4-Mar,146,18,4,0.976
"40 Solomon, Joshua",0.258,18-18,66,10,17,3,0,3,6,29,0.439,6,1,33,2,0.329,0,0,6-Jun,39,1,1,0.976
"38 Eberly, Weston",0.25,16-16,52,13,13,1,3,2,10,26,0.5,7,0,13,0,0.339,0,1,2-Jan,107,18,4,0.969
"42 Blake, Andy",0.214,16-15,56,10,12,2,0,3,13,23,0.411,8,1,18,0,0.318,1,0,0-0,0,0,0,0
"17 Palfrey, Griffin",0.205,18-15,44,6,9,2,0,0,6,11,0.25,1,2,9,1,0.235,4,1,2-Jan,22,32,1,0.982
"21 Phelps, Jacob",0.179,19-12,56,7,10,2,0,0,6,12,0.214,4,2,16,0,0.246,3,1,0-0,20,59,6,0.929
"34 Kreutzmann, EJ",0.6,1-Apr,5,3,3,2,0,1,5,8,1.6,0,0,1,0,0.6,0,0,0-0,1,0,0,1
"43 Blackwell, Miles",0.429,2-Apr,7,1,3,0,0,0,0,3,0.429,0,0,2,0,0.429,0,0,0-0,15,1,0,1
"3 Mowrey, Austin",0.286,5-Oct,21,6,6,0,0,1,4,9,0.429,1,1,4,0,0.348,0,1,1-Jan,8,20,1,0.966
"13 Dardar, Seth",0.214,6-Sep,14,2,3,0,0,0,0,3,0.214,1,0,3,0,0.267,0,0,1-Jan,0,0,0,0
"41 Selinsky, Skye",0.185,5-Nov,27,4,5,2,0,2,7,13,0.481,1,0,5,0,0.214,0,0,1-Jan,15,0,0,1
"16 Cooper, Jack",0.143,2-Aug,7,2,1,0,0,1,1,4,0.571,0,1,4,0,0.25,0,0,0-0,2,1,0,1
"24 Krylov, Alex",0,1-Apr,7,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0-0,5,3,0,1
"25 Decker, Mike",0,1-May,4,0,0,0,0,0,0,0,0,1,1,2,0,0.333,0,0,0-0,2,4,1,0.857
"2 San Jule, John",0,1-May,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1-Jan,0,0,0,0
"5 Corso, Kyle",0,Jan-00,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0-0,1,0,0,1
Totals,0.253,19-19,632,107,160,30,5,21,97,263,0.416,57,14,180,6,0.323,12,4,22-28,474,192,27,0.961
Opponents,0.32,19-19,643,128,206,47,3,17,115,310,0.482,75,21,122,10,0.405,6,11,20-Nov,498,174,17,0.975
