Player,avg,gp-gs,ab,r,h,2b,3b,hr,rbi,tb,slg%,bb,hp,so gdp,ob%,sf,sh,sb-att,po,a,e fld%
"Henseler, Wyatt",0.438,21-21,80,21,35,6,0,7,27,62,0.775,11,6,19 1,0.52,3,0,0-0,16,30,1 .979
"Appel, Jackson",0.38,17-17,71,23,27,3,0,2,7,36,0.507,8,1,3 1,0.45,0,0,5-May,63,7,0 1.000
"Hernandez, Andrew",0.371,10-Oct,35,5,13,1,0,1,6,17,0.486,4,1,3 0,0.45,0,0,1-Jan,59,7,1 .985
"Courtney, Tommy",0.355,21-21,93,19,33,2,1,2,12,43,0.462,7,0,17 1,0.4,0,4,6-Apr,41,0,1 .976
"Wilson, Asa",0.333,9-Oct,36,9,12,4,0,1,6,19,0.528,0,3,11 0,0.385,0,1,0-0,91,11,2 .981
"Larsen, Craig",0.292,21-21,89,14,26,5,0,1,18,34,0.382,3,1,17 3,0.319,1,2,1-Jan,23,35,5 .921
"Werchan, Seth",0.284,21-21,74,10,21,3,2,1,15,31,0.419,12,0,17 1,0.375,2,0,3-Feb,41,2,0 1.000
"Polo, Nate",0.273,8-Aug,22,8,6,1,0,0,4,7,0.318,7,1,9 2,0.467,0,0,1-Jan,6,0,0 1.000
"Miller, Ben",0.265,21-21,83,20,22,11,0,2,17,39,0.47,10,1,19 3,0.344,2,0,0-1,128,8,4 .971
"Ozmer, Carson",0.25,4-Jul,16,4,4,1,0,1,2,8,0.5,5,0,8 0,0.429,0,0,0-0,0,0,0 .000
"Brown, Calvin",0.244,16-9,41,4,10,1,0,0,1,11,0.268,4,0,15 0,0.311,0,1,1-Jan,24,0,0 1.000
"Palis, Cole",0.225,21-21,80,9,18,4,0,2,17,28,0.35,14,0,16 0,0.337,1,0,0-2,24,37,2 .968
"McGonigal, Cole",0.056,6-Aug,18,3,1,1,0,0,0,2,0.111,3,0,12 0,0.19,0,0,0-0,10,0,0 1.000
"Neskie, Justin",0,Feb-00,1,0,0,0,0,0,0,0,0,0,0,1 0,0,0,0,0-0,0,0,0 .000
"Rogers, Drew",0,Jan-00,0,0,0,0,0,0,0,0,0,0,0,0 0,0,0,0,0-0,0,0,0 .000
Totals,0.309,21,739,149,228,43,3,20,132,337,0.456,88,14,167 12,0.388,9,8,15-21,533,157,20 .972
Opponents,0.237,21,651,105,154,30,4,14,94,234,0.359,102,22,213 12,0.354,11,6,41-53,534,180,26 .965
