Player,era,w-l,app,gs,cg,sho,sv,ip,h,r,er,bb,so,2b,3b,hrb/avg,wp,hp,bk sfa,sha
"Trop, Eli",0,0-0,1,0,0,0/0,0,1,0,0,0,0,2,0,0,0,0,0,0 0,0
"Shoemaker, David",1.42,0-0,8,0,0,0/0,0,6.1,3,1,1,4,6,0,0,0.158,0,0,0 0,2
"Zeldin, Brian",1.69,0-0,2,2,0,0/0,0,5.1,3,3,1,5,6,1,0,0.15,0,1,0 0,0
"Bennett, Sam",2,0-1,7,0,0,0/0,0,9,6,2,2,6,9,1,0,0.2,0,0,1 0,2
"Coady, Owen",2.7,Mar-00,6,2,0,0/0,0,26.2,17,8,8,9,37,4,0,0.181,2,2,0 1,0
"Zaffiro, Cole",3.44,Feb-00,6,3,0,0/0,0,18.1,15,7,7,7,23,4,0,0.231,2,2,0 1,0
"DeVries, Seth",3.86,0-0,6,0,0,0/0,0,4.2,5,2,2,4,6,1,0,0.263,1,0,0 1,0
"Miller, Joe",4.76,1-Feb,5,4,0,0/0,0,28.1,27,17,15,17,35,7,1,3.252,4,1,0 3,0
"Eaise, Kevin",4.94,1-Jan,5,5,0,0/0,0,27.1,30,15,15,9,32,2,2,2.286,1,3,0 1,1
"Mangene, Bryce",5.19,Jan-00,4,2,0,0/0,0,8.2,4,6,5,5,7,2,0,2.133,0,1,1 0,0
"Bean, Brendan",5.4,2-Jan,7,0,0,0/0,3,6.2,9,6,4,4,9,0,0,4.321,2,0,0 2,0
"Heintz, Danny",6.1,0-1,9,0,0,0/0,0,10.1,5,8,7,9,15,0,0,0.156,2,2,1 2,0
"Ozmer, Carson",8.1,0-0,3,0,0,0/0,0,3.1,4,3,3,3,4,1,0,1.333,0,0,0 0,0
"Dromboski, Ryan",9,0-0,3,0,0,0/0,0,2,3,2,2,4,3,2,0,0.333,0,1,0 0,0
"Millikan, Noah",9.45,1-Jan,4,1,0,0/0,0,6.2,5,7,7,5,7,1,0,0.208,0,5,1 0,0
"Tobin, Will",11.57,0-0,2,2,0,0/0,0,4.2,6,6,6,2,3,2,0,2.316,1,1,0 0,0
"Sarti, Edward",12.27,Feb-00,7,0,0,0/0,0,7.1,12,10,10,6,9,2,1,0.375,2,3,0 0,1
"Beal, Nate",18,0-0,2,0,0,0/0,0,1,0,2,2,3,0,0,0,0,1,0,0 0,0
Totals,4.91,13-7,21,21,0,0/0,3,177.2,154,105,97,102,213,30,4,14.237,18,22,4 11,6
Opponents,6.37,13-Jul,21,21,0,1-Jan,2,178,228,149,126,88,167,43,3,20.309,20,14,1 9,8
