Player,avg,gp-gs,ab,r,h,2b,3b,hr,rbi,tb,slg%,bb,hbp,so,gdp,ob%,sf,sh,sb-att,po,a,e,fld%
"Lewis, Nadir",0.422,18-18,64,18,27,5,1,7,22,55,0.859,19,0,16,0,0.541,2,0,3-Mar,45,1,1,0.979
"Emus, Jackson",0.419,8-Sep,31,3,13,2,0,0,7,15,0.484,1,0,7,0,0.438,0,0,0-0,31,7,2,0.95
"Cumming, Brendan",0.39,18-18,82,21,32,7,0,6,19,57,0.695,5,4,9,2,0.451,0,0,3-Jan,46,0,3,0.939
"Scannell, Matt",0.293,16-15,58,6,17,2,0,3,15,28,0.483,5,3,16,1,0.373,1,1,1-Jan,77,5,1,0.988
"Kelly, Jordan",0.288,17-15,52,12,15,1,2,1,5,23,0.442,5,1,21,0,0.362,0,0,0-0,12,24,9,0.8
"Abello, Carlos",0.261,17-14,46,4,12,2,0,0,3,14,0.304,5,0,17,0,0.333,0,0,0-0,79,9,0,1
"DiPietrantonio, Nick",0.256,14-9,43,11,11,0,0,3,8,20,0.465,5,0,16,0,0.333,0,0,0-0,1,7,0,1
"Shapiro, Caden",0.24,13-7,25,3,6,0,0,0,2,6,0.24,2,3,9,0,0.355,1,0,0-0,10,0,0,1
"Marasheski, Eric",0.24,6-Nov,25,6,6,0,0,1,3,9,0.36,3,4,12,0,0.406,0,0,0-0,10,18,0,1
"Espinel, Alejandro",0.235,15-14,51,5,12,2,0,0,2,14,0.275,2,1,13,0,0.278,0,1,0-0,17,29,2,0.958
"Granet, Noah",0.194,18-18,72,5,14,3,0,1,9,20,0.278,7,0,17,0,0.259,2,1,0-0,22,36,6,0.906
"Kram, Kaden",0.19,4-Sep,21,4,4,1,0,0,0,5,0.238,1,1,14,0,0.261,0,0,0-0,27,1,1,0.966
"Bandura, Scott",0.16,7-Aug,25,2,4,0,0,0,1,4,0.16,3,1,7,1,0.276,0,1,0-1,12,0,0,1
"Blowers, Kevin",0.158,3-Oct,19,3,3,1,0,0,2,4,0.211,3,0,7,0,0.261,1,0,0-0,4,7,1,0.917
"Vinci, Kyle",0.043,15-6,23,1,1,0,0,1,1,4,0.174,2,3,15,0,0.214,0,0,0-0,45,4,1,0.98
"Zdimal, Max",0,Jan-00,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0-0,0,0,0,0
Totals,0.277,18-18,638,104,177,26,3,23,99,278,0.436,68,21,197,4,0.362,7,4,8-May,447,164,27,0.958
Opponents,0.313,18-18,620,148,194,36,3,26,141,314,0.506,78,25,103,3,0.405,11,13,33-37,480,131,17,0.973
