,Player,AVG,GP-GS,AB,R,H,2B,3B,HR,RBI,TB,SLG%,BB,HBP,SO,GDP,OB%,SF,SH,SB-ATT,PO,A,E,FLD%,GP,GS,School,ISO,RC,BABIP,PA,K%,BB%,BABIP-AVG
12,"13 Russell, Shane",0.154,3-Aug,13,0,2,0,0,0,2,2,0.154,0,0,10,0,0.154,0,0,0-0,17,2,1,0.95,8,3,Cornell,0.0,0.3076923076923077,0.6666666666666666,13,0.7692307692307693,0.0,0.5126666666666666
8,"1 Quinlan, John",0.444,1-Jun,9,2,4,1,0,0,0,5,0.556,0,0,2,0,0.444,0,0,0-0,3,0,1,0.75,6,1,Cornell,0.11200000000000004,2.2222222222222223,0.5714285714285714,9,0.2222222222222222,0.0,0.1274285714285714
0,"30 Hollerbach, Joe",0.345,14-14,58,7,20,5,1,3,9,36,0.621,8,0,21,4,0.424,0,0,3-Mar,10,29,4,0.907,14,14,Cornell,0.276,15.272727272727273,0.5,66,0.3181818181818182,0.12121212121212122,0.15500000000000003
14,"19 Musser, Kyle",0.125,1-May,8,1,1,0,0,0,1,1,0.125,1,0,6,0,0.222,0,0,0-0,3,0,0,1.0,5,1,Cornell,0.0,0.2222222222222222,0.5,9,0.6666666666666666,0.1111111111111111,0.375
13,"11 Charles, Lachlan",0.125,2-Jun,8,1,1,1,0,0,1,2,0.25,1,0,6,0,0.222,0,0,0-0,1,0,1,0.5,6,2,Cornell,0.125,0.4444444444444444,0.5,9,0.6666666666666666,0.1111111111111111,0.375
9,"40 Waugh, Nathan",0.308,6-Oct,26,7,8,1,1,2,3,17,0.654,5,0,12,0,0.419,0,0,0-0,38,4,4,0.913,10,6,Cornell,0.34600000000000003,7.129032258064516,0.5,31,0.3870967741935484,0.16129032258064516,0.192
10,"3 Ross, Ryan",0.28,7-Oct,25,6,7,2,2,2,9,19,0.76,4,3,12,0,0.438,0,0,0-1,14,9,1,0.958,10,7,Cornell,0.48,7.206896551724138,0.45454545454545453,32,0.375,0.125,0.1745454545454545
1,"2 Barnhorst, Matt",0.278,10-Nov,36,10,10,3,0,2,3,19,0.528,5,2,15,1,0.395,0,0,5-Apr,23,27,2,0.962,11,10,Cornell,0.25,6.951219512195122,0.42105263157894735,43,0.3488372093023256,0.11627906976744186,0.14305263157894732
7,"22 Davis, Jakobi",0.208,14-13,48,10,10,1,1,0,8,13,0.271,6,1,23,0,0.304,1,1,3-Mar,34,0,0,1.0,13,14,Cornell,0.06300000000000003,3.8518518518518516,0.38461538461538464,57,0.40350877192982454,0.10526315789473684,0.17661538461538465
18,Totals,0.243,14-14,490,88,119,26,7,13,73,198,0.404,73,11,192,8,0.351,4,3,21-26,358,146,26,0.951,14,14,Cornell,0.16100000000000003,67.52397868561279,0.36678200692041524,581,0.3304647160068847,0.12564543889845095,0.12378200692041524
19,Opponents,0.323,14-14,496,172,160,30,7,17,149,255,0.514,101,38,87,8,0.463,11,9,27-30,381,79,24,0.95,14,14,Cornell,0.191,111.48241206030151,0.3548387096774194,655,0.13282442748091602,0.15419847328244274,0.03183870967741936
3,"38 Porter, Ryan",0.269,13-9,26,9,7,1,1,1,5,13,0.5,10,1,9,0,0.474,1,0,4-Mar,11,33,1,0.978,9,13,Cornell,0.23099999999999998,6.138888888888889,0.35294117647058826,38,0.23684210526315788,0.2631578947368421,0.08394117647058824
5,"25 Apostle, Jason",0.222,13-10,36,8,8,1,0,1,4,12,0.333,5,2,15,1,0.349,0,0,1-Jan,11,0,0,1.0,10,13,Cornell,0.11100000000000002,3.8048780487804876,0.35,43,0.3488372093023256,0.11627906976744186,0.12799999999999997
4,"5 Guy, Wils",0.244,14-12,45,8,11,3,0,1,9,17,0.378,13,1,14,0,0.417,1,1,6-May,20,2,2,0.917,12,14,Cornell,0.134,7.0344827586206895,0.3225806451612903,61,0.22950819672131148,0.21311475409836064,0.07858064516129032
11,"23 Mack, Braden",0.19,6-Sep,21,4,4,1,0,0,2,5,0.238,1,1,8,1,0.261,0,0,0-0,30,6,0,1.0,9,6,Cornell,0.04799999999999999,1.1363636363636365,0.3076923076923077,23,0.34782608695652173,0.043478260869565216,0.11769230769230771
2,"41 Jensen, Max",0.277,13-11,47,7,13,3,1,1,8,21,0.447,3,0,7,0,0.314,1,0,1-Jan,106,9,0,1.0,11,13,Cornell,0.16999999999999998,6.72,0.3,51,0.13725490196078433,0.058823529411764705,0.022999999999999965
6,"35 Flematti, Austin",0.22,12-Dec,50,5,11,2,0,0,7,13,0.26,4,0,12,1,0.278,0,0,0-0,14,1,1,0.938,12,12,Cornell,0.04000000000000001,3.611111111111111,0.2894736842105263,54,0.2222222222222222,0.07407407407407407,0.06947368421052633
15,"15 Kaplan, Sam",0.111,4-Sep,18,0,2,1,0,0,2,3,0.167,1,0,11,0,0.158,0,0,0-0,10,0,0,1.0,9,4,Cornell,0.05600000000000001,0.47368421052631576,0.2857142857142857,19,0.5789473684210527,0.05263157894736842,0.1747142857142857
16,"8 Alonso, Franco",0.0,4-Oct,11,2,0,0,0,0,0,0,0.0,3,0,7,0,0.214,0,1,1-Jan,5,7,4,0.75,10,4,Cornell,0.0,0.0,0.0,15,0.4666666666666667,0.2,0.0
17,"21 Diaz, Elijah",0.0,1-Apr,5,1,0,0,0,0,0,0,0.0,3,0,2,0,0.375,0,0,0-1,1,0,0,1.0,4,1,Cornell,0.0,0.0,0.0,8,0.25,0.375,0.0
