Player,ERA,W-L,APP,GS,CG,SHO,SV,IP,H,R,ER,BB,SO,2B,3B,HRB/AVG,WP,HP,SHA,HR,B/AVG,BK,SFA,School,Index,FIP,K/9,BB/9,K/BB,ERA-FIP,FIP-lgFIP
"Sarti, Edward",12.27,Feb-00,7,0,0,0/0,0,7.1,12,10,10,6,9,2,1,0.375,2,3,1,0,0.375,0,0,Penn,"Sarti, Edward",5.864653479069189,11.408450704225352,7.605633802816902,1.4999999999999998,6.40534652093081,-0.6020923641612148
"Beal, Nate",18.0,0-0,2,0,0,0/0,0,1.0,0,2,2,3,0,0,0,0.0,1,0,0,0,0.0,0,0,Penn,"Beal, Nate",13.597047845266372,0.0,27.0,0.0,4.402952154733628,7.130302002035968
"Millikan, Noah",9.45,1-Jan,4,1,0,0/0,0,6.2,5,7,7,5,7,1,0,0.208,0,5,0,0,0.208,1,0,Penn,"Millikan, Noah",7.177693006556694,10.161290322580644,7.258064516129032,1.4,2.272306993443305,0.7109471633262903
"Heintz, Danny",6.1,0-1,9,0,0,0/0,0,10.1,5,8,7,9,15,0,0,0.156,2,2,0,0,0.156,1,2,Penn,"Heintz, Danny",4.89407754823667,13.366336633663368,8.01980198019802,1.6666666666666667,1.20592245176333,-1.5726682949937345
Opponents,6.37,13-Jul,21,21,0,1-Jan,2,178.0,228,149,126,88,167,43,3,20.309,20,14,8,20,0.309,1,9,Penn,Opponents,5.900418631783227,8.4438202247191,4.449438202247191,1.8977272727272725,0.4695813682167733,-0.5663272114471773
"Eaise, Kevin",4.94,1-Jan,5,5,0,0/0,0,27.1,30,15,15,9,32,2,2,2.286,1,3,1,2,0.286,0,1,Penn,"Eaise, Kevin",4.523247107258992,10.62730627306273,2.988929889298893,3.555555555555556,0.416752892741008,-1.9434987359714118
"Tobin, Will",11.57,0-0,2,2,0,0/0,0,4.2,6,6,6,2,3,2,0,2.316,1,1,0,2,0.316,0,0,Penn,"Tobin, Will",11.501809750028276,6.428571428571428,4.285714285714286,1.5,0.06819024997172463,5.0350639067978715
"Dromboski, Ryan",9.0,0-0,3,0,0,0/0,0,2.0,3,2,2,4,3,2,0,0.333,0,1,0,0,0.333,0,0,Penn,"Dromboski, Ryan",9.097047845266372,13.5,18.0,0.75,-0.09704784526637233,2.630302002035968
"Zaffiro, Cole",3.44,Feb-00,6,3,0,0/0,0,18.1,15,7,7,7,23,4,0,0.231,2,2,0,0,0.231,0,1,Penn,"Zaffiro, Cole",3.547324088360295,11.43646408839779,3.480662983425414,3.2857142857142856,-0.10732408836029483,-2.9194217548701094
"Coady, Owen",2.7,Mar-00,6,2,0,0/0,0,26.2,17,8,8,9,37,4,0,0.181,2,2,0,0,0.181,0,1,Penn,"Coady, Owen",3.0321623490831664,12.709923664122138,3.0916030534351147,4.111111111111112,-0.3321623490831662,-3.4345834941472377
Totals,4.91,13-7,21,21,0,0/0,3,177.2,154,105,97,102,213,30,4,14.237,18,22,6,14,0.237,4,11,Penn,Totals,5.319395475063212,10.818284424379232,5.18058690744921,2.088235294117647,-0.40939547506321183,-1.1473503681671922
"Trop, Eli",0.0,0-0,1,0,0,0/0,0,1.0,0,0,0,0,2,0,0,0.0,0,0,0,0,0.0,0,0,Penn,"Trop, Eli",0.5970478452663723,18.0,0.0,inf,-0.5970478452663723,-5.869697997964032
"Miller, Joe",4.76,1-Feb,5,4,0,0/0,0,28.1,27,17,15,17,35,7,1,3.252,4,1,0,3,0.252,0,3,Penn,"Miller, Joe",5.415553183344664,11.209964412811388,5.444839857651245,2.058823529411765,-0.6555531833446642,-1.0511926598857402
"DeVries, Seth",3.86,0-0,6,0,0,0/0,0,4.2,5,2,2,4,6,1,0,0.263,1,0,0,0,0.263,0,1,Penn,"DeVries, Seth",4.597047845266372,12.857142857142856,8.571428571428571,1.5,-0.7370478452663725,-1.8696979979640318
"Ozmer, Carson",8.1,0-0,3,0,0,0/0,0,3.1,4,3,3,3,4,1,0,1.333,0,0,0,1,0.333,0,0,Penn,"Ozmer, Carson",9.113176877524436,11.612903225806452,8.709677419354838,1.3333333333333335,-1.0131768775244367,2.6464310342940323
"Bennett, Sam",2.0,0-1,7,0,0,0/0,0,9.0,6,2,2,6,9,1,0,0.2,0,0,2,0,0.002,1,0,Penn,"Bennett, Sam",4.597047845266372,9.0,6.0,1.5,-2.5970478452663723,-1.8696979979640318
"Mangene, Bryce",5.19,Jan-00,4,2,0,0/0,0,8.2,4,6,5,5,7,2,0,2.133,0,1,0,2,0.133,1,0,Penn,"Mangene, Bryce",8.255584430632226,7.682926829268293,5.487804878048781,1.4,-3.0655844306322253,1.7888385874018216
"Shoemaker, David",1.42,0-0,8,0,0,0/0,0,6.1,3,1,1,4,6,0,0,0.158,0,0,2,0,0.158,0,0,Penn,"Shoemaker, David",4.597047845266372,8.852459016393443,5.901639344262295,1.5,-3.1770478452663724,-1.8696979979640318
"Zeldin, Brian",1.69,0-0,2,2,0,0/0,0,5.1,3,3,1,5,6,1,0,0.15,0,1,0,0,0.015,0,0,Penn,"Zeldin, Brian",5.773518433501667,10.588235294117649,8.823529411764707,1.2000000000000002,-4.083518433501666,-0.6932274097287374
"Bean, Brendan",5.4,2-Jan,7,0,0,0/0,3,6.2,9,6,4,4,9,0,0,4.321,2,0,0,4,0.321,0,2,Penn,"Bean, Brendan",12.01640268397605,13.064516129032258,5.806451612903226,2.25,-6.61640268397605,5.549656840745646
