Player,ERA,W-L,APP,GS,CG,SHO,SV,IP,H,R,ER,BB,SO,2B,3B,HR,B/AVG,WP,HP,BK,SFA,SHA,School,Index,FIP,K/9,BB/9,K/BB,ERA-FIP,FIP-lgFIP
"28 Saladin, Chris",81.0,0-0,2,0,0,0-0,0,0.2,3,6,6,3,0,0,0,3,0.6,1,2,0,0,0,Yale,"28 Saladin, Chris",274.5970478452664,0.0,135.0,0.0,-193.5970478452664,268.130302002036
"31 DeKay, Jamis",13.5,0-0,1,0,0,0-0,0,0.2,1,1,1,0,0,0,0,1,0.333,0,0,0,0,0,Yale,"31 DeKay, Jamis",69.59704784526637,0.0,0.0,,-56.097047845266374,63.13030200203597
"20 Capell, Mark",4.7,Feb-00,3,0,0,0-1,1,7.2,3,4,4,8,10,0,0,2,0.13,0,0,0,0,2,Yale,"20 Capell, Mark",8.763714511933038,12.5,10.0,1.25,-4.063714511933038,2.2969686687026343
"23 Cleary, Quinn",22.5,0-0,2,0,0,0-0,0,4.0,10,10,10,3,5,3,0,1,0.455,4,1,2,0,0,Yale,"23 Cleary, Quinn",8.347047845266372,11.25,6.75,1.6666666666666667,14.152952154733628,1.8803020020359682
"40 Gibbs, Ben",3.37,0-0,2,0,0,0-0,0,2.2,4,2,1,0,4,1,0,1,0.333,0,1,0,0,0,Yale,"40 Gibbs, Ben",8.233411481630009,16.363636363636363,0.0,inf,-4.863411481630009,1.7666656383996049
"34 Walsh, Mike",4.45,Mar-00,5,5,0,0-0,0,28.1,22,16,14,15,33,4,0,6,0.21,1,10,0,0,0,Yale,"34 Walsh, Mike",7.693133254519042,10.569395017793594,4.804270462633451,2.2,-3.2431332545190417,1.2263874112886377
Totals,5.71,6-Nov,52,17,0,1,5,149.2,152,110,95,67,150,29,4,24,0.26,10,30,2,5,6,Yale,Totals,6.627878944462083,9.048257372654156,4.041554959785523,2.238805970149254,-0.9178789444620827,0.16113310123167857
"18 Kipp, Grant",8.1,2-Feb,5,5,0,0-0,0,26.2,41,28,24,10,26,6,1,4,0.357,0,7,0,1,3,Yale,"18 Kipp, Grant",6.543612730762556,8.931297709923664,3.435114503816794,2.5999999999999996,1.5563872692374439,0.07686688753215165
"22 Kelley, Mick",3.92,Jan-00,8,0,0,0-1,2,20.2,22,14,9,3,17,7,1,4,0.259,0,3,0,1,1,Yale,"22 Kelley, Mick",6.379226063088154,7.574257425742575,1.3366336633663367,5.666666666666667,-2.4592260630881544,-0.08751978014224981
Opponents,5.39,11-Jun,75,17,0,3,0,152.0,149,110,91,73,147,27,3,14,0.252,26,17,2,8,5,Yale,Opponents,5.636521529476899,8.703947368421053,4.322368421052632,2.0136986301369864,-0.2465215294768992,-0.8302243137535052
"9 Shaw, Colton",5.74,2-Jan,5,5,0,0-0,0,26.2,23,18,17,13,21,4,0,1,0.23,3,3,0,1,0,Yale,"9 Shaw, Colton",5.322238684961029,7.213740458015267,4.465648854961832,1.6153846153846154,0.4177613150389714,-1.1445071582693753
"15 Klitenic, Clark",0.0,0-0,1,1,0,0-1,0,3.0,0,0,0,2,3,0,0,0,0.0,0,0,0,0,0,Yale,"15 Klitenic, Clark",4.597047845266372,9.0,6.0,1.5,-4.597047845266372,-1.8696979979640318
"12 Gehri, Jake",0.0,0-0,1,0,0,0-0,0,0.2,1,0,0,0,0,0,0,0,0.333,0,0,0,0,0,Yale,"12 Gehri, Jake",4.597047845266372,0.0,0.0,,-4.597047845266372,-1.8696979979640318
"13 Kessinger, Carter",2.35,0-0,7,0,0,0-0,0,7.2,5,3,2,6,11,1,1,0,0.179,0,1,0,1,0,Yale,"13 Kessinger, Carter",4.458158956377483,13.75,7.5,1.8333333333333333,-2.108158956377483,-2.008586886852921
"21 Easterly, Reid",3.12,2-Jan,9,0,0,0-1,2,17.1,16,7,6,3,17,2,1,1,0.246,1,2,0,1,0,Yale,"21 Easterly, Reid",4.246170652283916,8.94736842105263,1.5789473684210524,5.666666666666666,-1.1261706522839159,-2.220575190946488
"4 Chatfield, Jimmy",3.0,Jan-00,1,1,0,0-0,0,3.0,1,1,1,1,3,1,0,0,0.1,0,0,0,0,0,Yale,"4 Chatfield, Jimmy",3.5970478452663723,9.0,3.0,3.0,-0.5970478452663723,-2.869697997964032
